id,countryname,exports,imports,independence,militaryexpenditure,netmigration,area,internetusers,labourforce,population,agriproducts,areacomparative,background,capital,climate,economy,governmenttype,memberof,countrycode,nationality,coordinates
144,Malawi,$ 830 000 000,$ 1 587 000 000,19640706,1.3,,118484,139500,5747000,14268711,tobacco sugarcane cotton tea corn potatoes cassava (tapioca) sorghum pulses groundnuts Macadamia nuts; cattle goats,slightly smaller than Pennsylvania,Established in 1891 the British protectorate of Nyasaland became the independent nation of Malawi in 1964. After three decades of one-party rule under President Hastings Kamuzu BANDA the country held multiparty elections in 1994 under a provisional constitution that came into full effect the following year. Current President Bingu wa MUTHARIKA elected in May 2004 after a failed attempt by the previous president to amend the constitution to permit another term struggled to assert his authority against his predecessor and subsequently started his own party the Democratic Progressive Party (DPP) in 2005. As president MUTHARIKA has overseen substantial economic improvement but because of political deadlock in the legislature his minority party has been unable to pass significant legislation and anti-corruption measures have stalled. Population growth increasing pressure on agricultural lands corruption and the spread of HIV/AIDS pose major problems for Malawi.,name: Lilongwe geographic coordinates: 13 59 S 33 47 E time difference: UTC+2 (7 hours ahead of Washington DC during Standard Time),sub-tropical; rainy season (November to May); dry season (May to November),Landlocked Malawi ranks among the world's most densely populated and least developed countries. The economy is predominately agricultural with about 85% of the population living in rural areas. Agriculture accounts for more than one-third of GDP and 90% of export revenues. The performance of the tobacco sector is key to short-term growth as tobacco accounts for more than half of exports. The economy depends on substantial inflows of economic assistance from the IMF the World Bank and individual donor nations. In December 2007 the US granted Malawi eligibility status to receive financial support within the Millennium Challenge Corporation (MCC) initiative. Malawi will now begin a consultative process to develop a five-year program before funding can begin. In 2006 Malawi was approved for relief under the Heavily Indebted Poor Countries (HIPC) program. The government faces many challenges including developing a market economy improving educational facilities facing up to environmental problems dealing with the rapidly growing problem of HIV/AIDS and satisfying foreign donors that fiscal discipline is being tightened. In 2005 President MUTHARIKA championed an anticorruption campaign. Since 2005 President MUTHARIKA'S government has exhibited improved financial discipline under the guidance of Finance Minister Goodall GONDWE and signed a three year Poverty Reduction and Growth Facility worth $56 million with the IMF. Improved relations with the IMF lead other international donors to resume aid as well.,multiparty democracy,ACP AfDB AU C COMESA FAO G-77 IAEA IBRD ICAO ICCt ICRM IDA IFAD IFC IFRCS ILO IMF IMO Interpol IOC ISO (correspondent) ITSO ITU ITUC MIGA MONUC NAM OPCW SADC UN UNAMID UNCTAD UNESCO UNIDO UNMIL UNMIS UNWTO UPU WCL WCO WFTU WHO WIPO WMO WTO,mw,noun: Malawian(s) adjective: Malawian,13 30 S 34 00 E
145,Malaysia,$ 198 900 000 000,$ 154 700 000 000,19570831,2.03,,329847,15868000,11090000,25715819,Peninsular Malaysia - rubber palm oil cocoa rice; Sabah - subsistence crops rubber timber coconuts rice; Sarawak - rubber pepper timber,slightly larger than New Mexico,During the late 18th and 19th centuries Great Britain established colonies and protectorates in the area of current Malaysia; these were occupied by Japan from 1942 to 1945. In 1948 the British-ruled territories on the Malay Peninsula formed the Federation of Malaya which became independent in 1957. Malaysia was formed in 1963 when the former British colonies of Singapore and the East Malaysian states of Sabah and Sarawak on the northern coast of Borneo joined the Federation. The first several years of the country's history were marred by a Communist insurgency Indonesian confrontation with Malaysia Philippine claims to Sabah and Singapore's secession from the Federation in 1965. During the 22-year term of Prime Minister MAHATHIR bin Mohamad (1981-2003) Malaysia was successful in diversifying its economy from dependence on exports of raw materials to expansion in manufacturing services and tourism.,name: Kuala Lumpur geographic coordinates: 3 10 N 101 42 E time difference: UTC+8 (13 hours ahead of Washington DC during Standard Time) note: Putrajaya is referred to as administrative center not capital; Parliament meets in Kuala Lumpur,tropical; annual southwest (April to October) and northeast (October to February) monsoons,"Malaysia a middle-income country has transformed itself since the 1970s from a producer of raw materials into an emerging multi-sector economy. After coming to office in 2003 former Prime Minister ABDULLAH tried to move the economy farther up the value-added production chain by attracting investments in high technology industries medical technology and pharmaceuticals. The Government of Malaysia is continuing efforts to boost domestic demand to wean the economy off of its dependence on exports. Nevertheless exports - particularly of electronics - remain a significant driver of the economy. As an oil and gas exporter Malaysia has profited from higher world energy prices although the rising cost of domestic gasoline and diesel fuel forced Kuala Lumpur to reduce government subsidies. Malaysia ""unpegged"" the ringgit from the US dollar in 2005 and the currency appreciated 6% per year against the dollar in 2006-08. Although this has helped to hold down the price of imports inflationary pressures began to build in 2007 - in 2008 inflation stood at nearly 6% year-over-year. The government presented its five-year national development agenda in April 2006 through the Ninth Malaysia Plan a comprehensive blueprint for the allocation of the national budget from 2006-10. ABDULLAH unveiled a series of ambitious development schemes for several regions that have had trouble attracting business investment. Real GDP growth averaged about 6% per year under ABDULLAH but regions outside of Kuala Lumpur and the manufacturing hub Penang did not fare as well. The central bank maintains healthy foreign exchange reserves and the regulatory regime has limited Malaysia's exposure to riskier financial instruments and the global financial crisis. Decreasing worldwide demand for consumer goods is expected to hurt economic growth in 2009 and beyond however.",constitutional monarchy note: nominally headed by paramount ruler (commonly referred to as the King) and a bicameral Parliament consisting of a nonelected upper house and an elected lower house; all Peninsular Malaysian states have hereditary rulers (commonly referred to as sultans) except Melaka and Pulau Pinang (Penang); those two states along with Sabah and Sarawak in East Malaysia have governors appointed by government; powers of state governments are limited by federal constitution; under terms of federation Sabah and Sarawak retain certain constitutional prerogatives (e.g. right to maintain their own immigration controls),ADB APEC APT ARF ASEAN BIS C CP EAS FAO G-15 G-77 IAEA IBRD ICAO ICC ICRM IDA IDB IFAD IFC IFRCS IHO ILO IMF IMO IMSO Interpol IOC IPU ISO ITSO ITU ITUC MIGA MINURSO MONUC NAM OIC OPCW PCA PIF (partner) UN UNCTAD UNESCO UNIDO UNIFIL UNMIL UNMIS UNMIT UNWTO UPU WCL WCO WFTU WHO WIPO WMO WTO,my,noun: Malaysian(s) adjective: Malaysian,2 30 N 112 30 E
146,Maldives,$ 113 000 000,$ 1 276 000 000,19650726,5.5,-12.58,298,33000,136100,396334,coconuts corn sweet potatoes; fish,about 1.7 times the size of Washington DC,"The Maldives was long a sultanate first under Dutch and then under British protection. It became a republic in 1968 three years after independence. President Maumoon Abdul GAYOOM dominated the islands' political scene for 30 years elected to six successive terms by single-party referendums. Following riots in the capital Male in August 2004 the president and his government pledged to embark upon democratic reforms including a more representative political system and expanded political freedoms. Progress was sluggish however and many promised reforms were slow to be realized. Nonetheless political parties were legalized in 2005. In June 2008 a constituent assembly - termed the ""Special Majlis"" - finalized a new constitution which was ratified by the president in August. The first-ever presidential elections under a multi-candidate multi-party system were held in October 2008. GAYOOM was defeated in a runoff poll by Mohamed NASHEED a political activist who had been jailed several years earlier by the former regime. Challenges facing the new president include strengthening democracy and combating poverty and drug abuse.",name: Male geographic coordinates: 4 10 N 73 30 E time difference: UTC+5 (10 hours ahead of Washington DC during Standard Time),tropical; hot humid; dry northeast monsoon (November to March); rainy southwest monsoon (June to August),Tourism Maldives' largest industry accounts for 28% of GDP and more than 60% of foreign exchange receipts. Over 90% of government tax revenue comes from import duties and tourism-related taxes. Fishing is the second leading sector. Agriculture and manufacturing continue to play a lesser role in the economy constrained by the limited availability of cultivable land and the shortage of domestic labor. Most staple foods must be imported. Industry which consists mainly of garment production boat building and handicrafts accounts for about 7% of GDP. The Maldivian Government began an economic reform program in 1989 initially by lifting import quotas and opening some exports to the private sector. Subsequently it has liberalized regulations to allow more foreign investment. Real GDP growth averaged over 7.5% per year for more than a decade. In late December 2004 a major tsunami left more than 100 dead 12 000 displaced and property damage exceeding $300 million. As a result of the tsunami the GDP contracted by about 4.6% in 2005. A rebound in tourism post-tsunami reconstruction and development of new resorts helped the economy recover quickly with GDP growth registering 18% in 2006. Growth slowed in 2007-08 but remained above 5% per year. The trade deficit expanded sharply as a result of high oil prices and imports of construction material. Government spending on social needs subsidies and civil servant salaries have created a large budget deficit and inflation has picked up sharply reaching nearly 13% in October 2008 due to high oil and food prices. Diversifying beyond tourism and fishing reforming public finance and increasing employment are the major challenges facing the government. Over the longer term Maldivian authorities worry about the impact of erosion and possible global warming on their low-lying country; 80% of the area is 1 meter or less above sea level.,republic,ADB C CP FAO G-77 IBRD ICAO IDA IDB IFAD IFC IMF IMO Interpol IOC IPU ITU MIGA NAM OIC OPCW SAARC SACEP UN UNCTAD UNESCO UNIDO UNWTO UPU WCO WFTU WHO WIPO WMO WTO,mv,noun: Maldivian(s) adjective: Maldivian,3 15 N 73 00 E
147,Mali,$ 294 000 000,$ 2 358 000 000,19600922,1.9,-5.67,1240192,100000,3241000,12666987,cotton millet rice corn vegetables peanuts; cattle sheep goats,slightly less than twice the size of Texas,The Sudanese Republic and Senegal became independent of France in 1960 as the Mali Federation. When Senegal withdrew after only a few months what formerly made up the Sudanese Republic was renamed Mali. Rule by dictatorship was brought to a close in 1991 by a military coup - led by the current president Amadou TOURE - enabling Mali's emergence as one of the strongest democracies on the continent. President Alpha KONARE won Mali's first democratic presidential election in 1992 and was reelected in 1997. In keeping with Mali's two-term constitutional limit KONARE stepped down in 2002 and was succeeded by Amadou TOURE who was subsequently elected to a second term in 2007. The elections were widely judged to be free and fair.,name: Bamako geographic coordinates: 12 39 N 8 00 W time difference: UTC 0 (5 hours ahead of Washington DC during Standard Time),subtropical to arid; hot and dry (February to June); rainy humid and mild (June to November); cool and dry (November to February),Mali is among the 25 poorest countries in the world with 65% of its land area desert or semidesert and with a highly unequal distribution of income. Economic activity is largely confined to the riverine area irrigated by the Niger. About 10% of the population is nomadic and some 80% of the labor force is engaged in farming and fishing. Industrial activity is concentrated on processing farm commodities. Mali is heavily dependent on foreign aid and vulnerable to fluctuations in world prices for gold and cotton its main exports. The government has continued its successful implementation of an IMF-recommended structural adjustment program that is helping the economy grow diversify and attract foreign investment. Mali has invested in tourism and a tractor assembly factory. Mali's adherence to economic reform and the 50% devaluation of the CFA franc in January 1994 have pushed up economic growth to a 5% average in 1996-2008. Worker remittances and external trade routes for the landlocked country have been jeopardized by continued unrest in neighboring Cote d'Ivoire however Mali is building a road network that will connect it to all adjacent countries and it has a railway line to Senegal.,republic,ACP AfDB AU ECOWAS FAO FZ G-77 IAEA IBRD ICAO ICCt ICRM IDA IDB IFAD IFC IFRCS ILO IMF Interpol IOC IOM IPU ITSO ITU ITUC MIGA MINURCAT MONUC NAM OIC OIF OPCW UN UNAMID UNCTAD UNESCO UNIDO UNMIL UNMIS UNWTO UPU WADB (regional) WAEMU WCO WFTU WHO WIPO WMO WTO,ml,noun: Malian(s) adjective: Malian,17 00 N 4 00 W
148,Malta,$ 3 060 000 000,$ 4 832 000 000,19640921,0.7,2.02,316,158000,173000,405165,potatoes cauliflower grapes wheat barley tomatoes citrus cut flowers green peppers; pork milk poultry eggs,slightly less than twice the size of Washington DC,Great Britain formally acquired possession of Malta in 1814. The island staunchly supported the UK through both World Wars and remained in the Commonwealth when it became independent in 1964. A decade later Malta became a republic. Since about the mid-1980s the island has transformed itself into a freight transshipment point a financial center and a tourist destination. Malta became an EU member in May 2004 and began using the euro as currency in 2008.,name: Valletta geographic coordinates: 35 53 N 14 30 E time difference: UTC+1 (6 hours ahead of Washington DC during Standard Time) daylight saving time: +1hr begins last Sunday in March; ends last Sunday in October,Mediterranean; mild rainy winters; hot dry summers,Malta produces only about 20% of its food needs has limited fresh water supplies and has few domestic energy sources. Malta's geographic position between the EU and Africa makes it a recipient of illegal immigration which has strained Malta's political and economic resources. The financial services industry has grown in recent years but is not fully modernized. Malta's economy is dependent on foreign trade manufacturing - especially electronics and pharmaceuticals - and tourism all of which have been negatively affected by the global economic downturn. Malta adopted the euro on 1 January 2008. The Maltese government in 2009 will be challenged to contain the budget deficit which ballooned in 2008 to about 4.1% of GDP placing it above the euro zone's 3% maximum.,republic,Australia Group C CE EAPC EBRD EIB EMU EU FAO IAEA IBRD ICAO ICCt ICRM IFAD IFC IFRCS ILO IMF IMO IMSO Interpol IOC IOM IPU ISO ITSO ITU ITUC MIGA NSG OPCW OSCE PCA PFP Schengen Convention UN UNCTAD UNESCO UNIDO UNWTO UPU WCL WCO WFTU WHO WIPO WMO WTO,mt,noun: Maltese (singular and plural) adjective: Maltese,35 50 N 14 35 E
149,Marshall Islands,$ 19 400 000,$ 79 400 000,19861021,,-5.41,181,2200,14680,64522,coconuts tomatoes melons taro breadfruit fruits; pigs chickens,about the size of Washington DC,After almost four decades under US administration as the easternmost part of the UN Trust Territory of the Pacific Islands the Marshall Islands attained independence in 1986 under a Compact of Free Association. Compensation claims continue as a result of US nuclear testing on some of the atolls between 1947 and 1962. The Marshall Islands hosts the US Army Kwajalein Atoll (USAKA) Reagan Missile Test Site a key installation in the US missile defense network.,name: Majuro geographic coordinates: 7 06 N 171 23 E time difference: UTC+12 (17 hours ahead of Washington DC during Standard Time),tropical; hot and humid; wet season May to November; islands border typhoon belt,US Government assistance is the mainstay of this tiny island economy. The Marshall Islands received more than $1 billion in aid from the US from 1986-2002. Agricultural production primarily subsistence is concentrated on small farms; the most important commercial crops are coconuts and breadfruit. Small-scale industry is limited to handicrafts tuna processing and copra. The tourist industry now a small source of foreign exchange employing less than 10% of the labor force remains the best hope for future added income. The islands have few natural resources and imports far exceed exports. Under the terms of the Amended Compact of Free Association the US will provide millions of dollars per year to the Marshall Islands (RMI) through 2023 at which time a Trust Fund made up of US and RMI contributions will begin perpetual annual payouts. Government downsizing drought a drop in construction the decline in tourism and less income from the renewal of fishing vessel licenses have held GDP growth to an average of 1% over the past decade.,constitutional government in free association with the US; the Compact of Free Association entered into force 21 October 1986 and the Amended Compact entered into force in May 2004,ACP ADB FAO G-77 IAEA IBRD ICAO ICCt IDA IFC ILO IMF IMO IMSO Interpol IOC ITU OPCW PIF Sparteca SPC UN UNCTAD UNESCO WHO,mh,noun: Marshallese (singular and plural) adjective: Marshallese,9 00 N 168 00 E
150,Mauritania,$ 1 395 000 000,$ 1 475 000 000,19601128,5.5,-0.96,1030700,30000,1318000,3129486,dates millet sorghum rice corn; cattle sheep,slightly larger than three times the size of New Mexico,Independent from France in 1960 Mauritania annexed the southern third of the former Spanish Sahara (now Western Sahara) in 1976 but relinquished it after three years of raids by the Polisario guerrilla front seeking independence for the territory. Maaouya Ould Sid Ahmed TAYA seized power in a coup in 1984 and ruled Mauritania with a heavy hand for more than two decades. A series of presidential elections that he held were widely seen as flawed. A bloodless coup in August 2005 deposed President TAYA and ushered in a military council that oversaw a transition to democratic rule. Independent candidate Sidi Ould Cheikh ABDALLAHI was inaugurated in April 2007 as Mauritania's first freely and fairly elected president. His term ended prematurely in August 2008 when a military junta deposed him and ushered in a military council government. Meanwhile the country continues to experience ethnic tensions among its black population (Afro-Mauritanians) and White and Black Moor (Arab-Berber) communities.,name: Nouakchott geographic coordinates: 18 07 N 16 02 W time difference: UTC 0 (5 hours ahead of Washington DC during Standard Time),desert; constantly hot dry dusty,Half the population still depends on agriculture and livestock for a livelihood even though many of the nomads and subsistence farmers were forced into the cities by recurrent droughts in the 1970s and 1980s. Mauritania has extensive deposits of iron ore which account for nearly 40% of total exports. The nation's coastal waters are among the richest fishing areas in the world but overexploitation by foreigners threatens this key source of revenue. The country's first deepwater port opened near Nouakchott in 1986. Before 2000 drought and economic mismanagement resulted in a buildup of foreign debt. In February 2000 Mauritania qualified for debt relief under the Heavily Indebted Poor Countries (HIPC) initiative and nearly all of its foreign debt has since been forgiven. In December 2007 donors pledged $2.1 billion at a triennial Consultative Group review. A new investment code approved in December 2001 improved the opportunities for direct foreign investment. Mauritania and the IMF agreed to a three-year Poverty Reduction and Growth Facility (PRGF) arrangement in 2006 and Mauritania made satisfactory progress but IMF and World Bank have suspended their programs in Mauritania since the August 2008 coup. Oil prospects while initially promising have largely failed to materialize. The Government continues to emphasize reduction of poverty improvement of health and education and privatization of the economy.,military junta,ABEDA ACP AfDB AFESD AMF AMU AU CAEU FAO G-77 IAEA IBRD ICAO ICRM IDA IDB IFAD IFC IFRCS ILO IMF IMO Interpol IOC IOM IPU ITSO ITU ITUC LAS MIGA NAM OIC OIF OPCW UN UNCTAD UNESCO UNIDO UNWTO UPU WCL WCO WFTU WHO WIPO WMO WTO,mr,noun: Mauritanian(s) adjective: Mauritanian,20 00 N 12 00 W
151,Mauritius,$ 2 404 000 000,$ 4 391 000 000,19680312,0.3,-0.06,2040,340000,584000,1284264,sugarcane tea corn potatoes bananas pulses; cattle goats; fish,almost 11 times the size of Washington DC,Although known to Arab and Malay sailors as early as the 10th century Mauritius was first explored by the Portuguese in the 16th century and subsequently settled by the Dutch - who named it in honor of Prince Maurits van NASSAU - in the 17th century. The French assumed control in 1715 developing the island into an important naval base overseeing Indian Ocean trade and establishing a plantation economy of sugar cane. The British captured the island in 1810 during the Napoleonic Wars. Mauritius remained a strategically important British naval base and later an air station playing an important role during World War II for anti-submarine and convoy operations as well as the collection of signals intelligence. Independence from the UK was attained in 1968. A stable democracy with regular free elections and a positive human rights record the country has attracted considerable foreign investment and has earned one of Africa's highest per capita incomes. Recent poor weather declining sugar prices and declining textile and apparel production have slowed economic growth leading to some protests over standards of living in the Creole community.,name: Port Louis geographic coordinates: 20 09 S 57 29 E time difference: UTC+4 (9 hours ahead of Washington DC during Standard Time),tropical modified by southeast trade winds; warm dry winter (May to November); hot wet humid summer (November to May),Since independence in 1968 Mauritius has developed from a low-income agriculturally based economy to a middle-income diversified economy with growing industrial financial and tourist sectors. For most of the period annual growth has been in the order of 5% to 6%. This remarkable achievement has been reflected in more equitable income distribution increased life expectancy lowered infant mortality and a much-improved infrastructure. The economy rests on sugar tourism textiles and apparel and financial services and is expanding into fish processing information and communications technology and hospitality and property development. Sugarcane is grown on about 90% of the cultivated land area and accounts for 15% of export earnings. The government's development strategy centers on creating vertical and horizontal clusters of development in these sectors. Mauritius has attracted more than 32 000 offshore entities many aimed at commerce in India South Africa and China. Investment in the banking sector alone has reached over $1 billion. Mauritius with its strong textile sector has been well poised to take advantage of the Africa Growth and Opportunity Act (AGOA).,parliamentary democracy,ACP AfDB AU C COMESA CPLP (associate) FAO G-77 IAEA IBRD ICAO ICCt ICRM IDA IFAD IFC IFRCS IHO ILO IMF IMO IMSO InOC Interpol IOC IOM IPU ISO ITSO ITU ITUC MIGA NAM OIF OPCW PCA SAARC (observer) SADC UN UNCTAD UNESCO UNIDO UNWTO UPU WCL WCO WFTU WHO WIPO WMO WTO,mu,noun: Mauritian(s) adjective: Mauritian,20 17 S 57 33 E
152,Mayotte,$ 6 500 000,$ 341 000 000,,,1.11,374,,44560,223765,vanilla ylang-ylang (perfume essence) coffee copra fish livestock,slightly more than twice the size of Washington DC,Mayotte was ceded to France along with the other islands of the Comoros group in 1843. It was the only island in the archipelago that voted in 1974 to retain its link with France and forego independence.,name: Mamoudzou geographic coordinates: 12 46 S 45 13 E time difference: UTC+3 (8 hours ahead of Washington DC during Standard Time),tropical; marine; hot humid rainy season during northeastern monsoon (November to May); dry season is cooler (May to November),Economic activity is based primarily on the agricultural sector including fishing and livestock raising. Mayotte is not self-sufficient and must import a large portion of its food requirements mainly from France. The economy and future development of the island are heavily dependent on French financial assistance an important supplement to GDP. Mayotte's remote location is an obstacle to the development of tourism.,,InOC UPU WFTU,yt,noun: Mahorais (singular and plural) adjective: Mahoran,12 50 S 45 10 E
153,Mexico,$ 291 300 000 000,$ 308 600 000 000,18100916,0.5,-3.61,1964375,22812000,45320000,111211789,corn wheat soybeans rice beans cotton coffee fruit tomatoes; beef poultry dairy products; wood products,slightly less than three times the size of Texas,The site of advanced Amerindian civilizations Mexico came under Spanish rule for three centuries before achieving independence early in the 19th century. A devaluation of the peso in late 1994 threw Mexico into economic turmoil triggering the worst recession in over half a century. The nation had been making an impressive recovery until the global financial crisis hit in late 2008. Ongoing economic and social concerns include low real wages underemployment for a large segment of the population inequitable income distribution and few advancement opportunities for the largely Amerindian population in the impoverished southern states. The elections held in 2000 marked the first time since the 1910 Mexican Revolution that an opposition candidate - Vicente FOX of the National Action Party (PAN) - defeated the party in government the Institutional Revolutionary Party (PRI). He was succeeded in 2006 by another PAN candidate Felipe CALDERON. In January 2009 Mexico assumed a nonpermanent seat on the UN Security Council for the 2009-10 term.,name: Mexico (Distrito Federal) geographic coordinates: 19 26 N 99 08 W time difference: UTC-6 (1 hour behind Washington DC during Standard Time) daylight saving time: +1hr begins first Sunday in April; ends last Sunday in October note: Mexico is divided into three time zones,varies from tropical to desert,Mexico has a free market economy in the trillion dollar class. It contains a mixture of modern and outmoded industry and agriculture increasingly dominated by the private sector. Recent administrations have expanded competition in seaports railroads telecommunications electricity generation natural gas distribution and airports. Per capita income is one-fourth that of the US; income distribution remains highly unequal. Trade with the US and Canada has nearly tripled since the implementation of NAFTA in 1994. Mexico has 12 free trade agreements with over 40 countries including Guatemala Honduras El Salvador the European Free Trade Area and Japan putting more than 90% of trade under free trade agreements. In 2007 during its first year in office the Felipe CALDERON administration was able to garner support from the opposition to successfully pass a pension and a fiscal reform. The administration continues to face many economic challenges including the need to upgrade infrastructure modernize labor laws and allow private investment in the energy sector. CALDERON has stated that his top economic priorities remain reducing poverty and creating jobs.,federal republic,APEC BCIE BIS CAN (observer) Caricom (observer) CDB CE (observer) CSN (observer) EBRD FAO G-20 G-3 G-15 G-24 IADB IAEA IBRD ICAO ICC ICCt ICRM IDA IFAD IFC IFRCS IHO ILO IMF IMO IMSO Interpol IOC IOM IPU ISO ITSO ITU ITUC LAES LAIA MIGA NAFTA NAM (observer) NEA OAS OECD OPANAL OPCW PCA RG SICA (observer) UN UNASUR (observer) UNCTAD UNESCO UNHCR UNIDO Union Latina UNWTO UPU WCL WCO WFTU WHO WIPO WMO WTO,mx,noun: Mexican(s) adjective: Mexican,23 00 N 102 00 W
154,Micronesia Federated States of,$ 14 000 000,$ 132 700 000,19861103,,-21.03,702,15000,16360,107434,black pepper tropical fruits and vegetables coconuts bananas cassava (tapioca) sakau (kava) betel nuts sweet potatoes; pigs chickens; fish; Kosraen citrus,four times the size of Washington DC (land area only),In 1979 the Federated States of Micronesia a UN Trust Territory under US administration adopted a constitution. In 1986 independence was attained under a Compact of Free Association with the US which was amended and renewed in 2004. Present concerns include large-scale unemployment overfishing and overdependence on US aid.,name: Palikir geographic coordinates: 6 55 N 158 09 E time difference: UTC+11 (16 hours ahead of Washington DC during Standard Time),tropical; heavy year-round rainfall especially in the eastern islands; located on southern edge of the typhoon belt with occasionally severe damage,Economic activity consists primarily of subsistence farming and fishing. The islands have few mineral deposits worth exploiting except for high-grade phosphate. The potential for a tourist industry exists but the remote location a lack of adequate facilities and limited air connections hinder development. Under the original terms of the Compact of Free Association the US provided $1.3 billion in grant aid during the period 1986-2001; the level of aid has been subsequently reduced. The Amended Compact of Free Association with the US guarantees the Federated States of Micronesia (FSM) millions of dollars in annual aid through 2023 and establishes a Trust Fund into which the US and the FSM make annual contributions in order to provide annual payouts to the FSM in perpetuity after 2023. The country's medium-term economic outlook appears fragile due not only to the reduction in US assistance but also to the current slow growth of the private sector.,constitutional government in free association with the US; the Compact of Free Association entered into force 3 November 1986 and the Amended Compact entered into force May 2004,ACP ADB FAO G-77 IBRD ICAO ICRM IDA IFC IFRCS IMF IOC ITSO ITU MIGA OPCW PIF Sparteca SPC UN UNCTAD UNESCO WHO WMO,fm,noun: Micronesian(s) adjective: Micronesian; Chuukese Kosraen(s) Pohnpeian(s) Yapese,6 55 N 158 15 E
155,Moldova,$ 1 647 000 000,$ 4 870 000 000,19910827,0.4,-1.13,33851,700000,1327000,4320748,vegetables fruits wine grain sugar beets sunflower seed tobacco; beef milk,slightly larger than Maryland,"Part of Romania during the interwar period Moldova was incorporated into the Soviet Union at the close of World War II. Although independent from the USSR since 1991 Russian forces have remained on Moldovan territory east of the Dniester River supporting the Slavic majority population mostly Ukrainians and Russians who have proclaimed a ""Transnistria"" republic. One of the poorest nations in Europe Moldova became the first former Soviet state to elect a Communist as its president in 2001.",name: Chisinau (Kishinev) note: pronounced kee-shee-now geographic coordinates: 47 00 N 28 51 E time difference: UTC+2 (7 hours ahead of Washington DC during Standard Time) daylight saving time: +1hr begins last Sunday in March; ends last Sunday in October,moderate winters warm summers,Moldova remains one of the poorest countries in Europe despite recent progress from its small economic base. It enjoys a favorable climate and good farmland but has no major mineral deposits. As a result the economy depends heavily on agriculture featuring fruits vegetables wine and tobacco. Moldova must import almost all of its energy supplies. Moldova's dependence on Russian energy was underscored at the end of 2005 when a Russian-owned electrical station in Moldova's separatist Transnistria region cut off power to Moldova and Russia's Gazprom cut off natural gas in disputes over pricing and again in January 2009 during a similar dispute. Russia's decision to ban Moldovan wine and agricultural products coupled with its decision to double the price Moldova paid for Russian natural gas slowed GDP growth in 2006. However in 2007-08 growth returned to the 6% level Moldova had achieved in 2000-05 boosted by Russia's partial removal of the bans solid fixed capital investment and strong domestic demand driven by remittances from abroad. Economic reforms have been slow because of corruption and strong political forces backing government controls. Nevertheless the government's primary goal of EU integration has resulted in some market-oriented progress. The granting of EU trade preferences and increased exports to Russia will encourage higher growth rates but the agreements are unlikely to serve as a panacea given the extent to which export success depends on higher quality standards and other factors. The economy remains vulnerable to higher fuel prices poor agricultural weather and the skepticism of foreign investors. Also the presence of an illegal separatist regime in Moldova's Transnistria region continues to be a drag on the Moldovan economy. The deteriorating global economic crisis did not seriously effect the Moldovan economy in 2008 due to its low exposure to the international financial system but a global economic slowdown particularly in the EU and Russia could hurt the economy in 2009 as Moldova relies heavily on remittances from Moldovans abroad.,republic,BSEC CE CEI CIS EAEC (observer) EAPC EBRD FAO GCTU GUAM IAEA IBRD ICAO ICCt (signatory) IDA IFAD IFC IFRCS ILO IMF IMO Interpol IOC IOM IPU ISO (correspondent) ITU MIGA OIF OPCW OSCE PFP SECI UN UNCTAD UNESCO UNIDO Union Latina UNMIL UNMIS UNOCI UNOMIG UNWTO UPU WCO WFTU WHO WIPO WMO WTO,md,noun: Moldovan(s) adjective: Moldovan,47 00 N 29 00 E
156,Monaco,$ 716 300 000,$ 916 100 000,,,7.58,2,20000,44000,32965,none,about three times the size of The Mall in Washington DC,The Genoese built a fortress on the site of present-day Monaco in 1215. The current ruling Grimaldi family secured control in the late 13th century and a principality was established in 1338. Economic development was spurred in the late 19th century with a railroad linkup to France and the opening of a casino. Since then the principality's mild climate splendid scenery and gambling facilities have made Monaco world famous as a tourist and recreation center.,name: Monaco geographic coordinates: 43 44 N 7 25 E time difference: UTC+1 (6 hours ahead of Washington DC during Standard Time) daylight saving time: +1hr begins last Sunday in March; ends last Sunday in October,Mediterranean with mild wet winters and hot dry summers,Monaco bordering France on the Mediterranean coast is a popular resort attracting tourists to its casino and pleasant climate. The principality also is a major banking center and has successfully sought to diversify into services and small high-value-added nonpolluting industries. The state has no income tax and low business taxes and thrives as a tax haven both for individuals who have established residence and for foreign companies that have set up businesses and offices. The state retains monopolies in a number of sectors including tobacco the telephone network and the postal service. Living standards are high roughly comparable to those in prosperous French metropolitan areas.,constitutional monarchy,CE FAO IAEA ICAO ICC ICCt (signatory) ICRM IFRCS IHO IMO IMSO Interpol IOC IPU ITSO ITU OIF OPCW OSCE Schengen Convention UN UNCTAD UNESCO UNIDO Union Latina UNWTO UPU WFTU WHO WIPO WMO,mc,noun: Monegasque(s) or Monacan(s) adjective: Monegasque or Monacan,43 44 N 7 24 E
